cluster,gene,p_val,p_val_adj,avg_log2FC,pct.1,pct.2
1,Impdh1,1.5181391002179699e-5,0.39920985779331736,-1.1655939039635461,0.971,0.972
1,Rab35,1.534254304493793e-5,0.40344751190968775,0.41140960861959375,1,0.984
1,Mras,1.5602878726856298e-5,0.4102932990014132,0.5935781099067485,1,0.988
1,BC029722,1.5731938850909605e-5,0.41368706402351896,0.6966986521126088,1,0.972
1,Syt16,1.627763144957923e-5,0.4280365965981354,0.6468209711281983,1,0.78
1,Thsd7a,1.641878056011861e-5,0.431748253608879,0.7933474265280758,0.971,0.963
1,Sorbs1,1.658320090630058e-5,0.43607185103208,0.3265249468543434,1,0.992
1,Gm20768,1.6947077738511272e-5,0.4456403562118924,-1.464753258905492,0.571,0.813
1,Vstm2l,1.714974877394132e-5,0.4509697937595609,0.6778524066695892,1,0.984
1,Ctxn3,1.739719812655771e-5,0.45747672193596156,-2.8614987694155585,0.4,0.732
1,Dusp8,1.7407650125144323e-5,0.4577515676907951,0.760102102340495,1,0.976
1,Lrrc3,1.754344822207217e-5,0.4613225144476098,0.8472749519212375,1,0.878
1,Trafd1,1.760293488292464e-5,0.46288677568138636,0.5961178059641501,1,0.98
1,Ptpn12,1.7764235739682313e-5,0.4671283430106861,0.33319120777109035,1,0.967
1,Acvr1,1.839281380224037e-5,0.4836574317437128,0.9069296277626613,1,0.963
1,Ddx5,1.844502333988396e-5,0.4850303337455886,0.24602516734524116,1,1
1,Rap1gap,1.8984369940244992e-5,0.4992129919486823,-2.0572171112461843,0.771,0.805
1,Fndc3b,1.9043007385298757e-5,0.5007549222038161,0.6557928307852245,1,0.935
1,Gm9758,1.9459706004993214e-5,0.5117124291073015,2.6757279646443384,0.171,0.02
1,Pctp,2.001782062061433e-5,0.5263886110396744,-3.1617566235976535,0.314,0.614
1,Zc3hav1,2.0181174874309195e-5,0.5306841744948346,0.8199005297090007,1,0.976
1,Jakmip2,2.0848102930910195e-5,0.5482217146712145,0.7211470894035559,1,0.967
1,Arhgap15,2.1302151788867374e-5,0.5601613834400565,0.6486663508539712,1,0.919
1,Stmn1,2.206986095849943e-5,0.5803490637647011,0.5284702779043258,1,1
1,Ngb,2.231635116279554e-5,0.5868307701768715,0.8718883270835227,0.943,0.671
1,Klf6,2.2392879968656134e-5,0.5888431716557817,0.42702592100032355,1,0.992
1,Necab1,2.249299573509857e-5,0.591475815850152,0.6943623859082502,1,0.988
1,Nudt17,2.283595560908553e-5,0.6004942886965131,0.9672813210240911,0.886,0.837
1,Gpr161,2.3467895707283552e-5,0.6171117855187283,0.821956816470232,0.971,0.911
1,Psd3,2.347659179343597e-5,0.6173404578001922,0.634342278660113,1,0.967
1,Serpina3n,2.3528914485936933e-5,0.6187163353221976,0.6759661643087442,1,0.992
